feed_id,label,prefcode,prefname,official,feed_page_url,feed_LastUpdate,license_name,fixed_url,feed_url,zip_name,feed_note,feed_version_note
f1002601,川場村循環バス,10,群馬県,1,https://gma.jcld.jp/GMA_OPENDATA/,20210401,CC BY 4.0,1,https://gma.jcld.jp/GMA_OPENDATA/GTFS/gtfs.1042.kawabamura_com.zip,gtfs.1042.kawabamura_com.zip,,2020/4/7改正
f1002701,昭和村路線バス,10,群馬県,1,https://gma.jcld.jp/GMA_OPENDATA/,20200924,CC BY 4.0,1,https://gma.jcld.jp/GMA_OPENDATA/GTFS/gtfs.1043.showamura_com.zip,gtfs.1043.showamura_com.zip,,2020/9/1～
f1002801,みなかみ町営バス,10,群馬県,1,https://gma.jcld.jp/GMA_OPENDATA/,20201112,CC BY 4.0,1,https://gma.jcld.jp/GMA_OPENDATA/GTFS/gtfs.1022.minakamimachi_com.zip,gtfs.1022.minakamimachi_com.zip,,2020/4/1改正（11/12～）
f1002901,大泉町・千代田町　広域公共バス「あおぞら」,10,群馬県,1,https://gma.jcld.jp/GMA_OPENDATA/,20210401,CC BY 4.0,1,https://gma.jcld.jp/GMA_OPENDATA/GTFS/gtfs.1048.oizumimachi_com.zip,gtfs.1048.oizumimachi_com.zip,,2020/4/1改正
f1003001,邑楽町　広域公共バス,10,群馬県,1,https://gma.jcld.jp/GMA_OPENDATA/,20210330,CC BY 4.0,1,https://gma.jcld.jp/GMA_OPENDATA/GTFS/gtfs.1049.oramachi_com.zip,gtfs.1049.oramachi_com.zip,,2021/4/1改正
f1003101,下仁田町　しもにたバス,10,群馬県,1,https://gma.jcld.jp/GMA_OPENDATA/,20200924,CC BY 4.0,1,https://gma.jcld.jp/GMA_OPENDATA/GTFS/gtfs.1036.shimonitamachi_com.zip,gtfs.1036.shimonitamachi_com.zip,,2020/9/1～
f1003201,安中市乗合バス,10,群馬県,1,https://gma.jcld.jp/GMA_OPENDATA/,20210210,CC BY 4.0,1,https://gma.jcld.jp/GMA_OPENDATA/GTFS/gtfs.1030.annakashi_com.zip,gtfs.1030.annakashi_com.zip,,2021/2/10～
f1003301,富岡市乗合タクシー,10,群馬県,1,https://gma.jcld.jp/GMA_OPENDATA/,20201224,CC BY 4.0,1,https://gma.jcld.jp/GMA_OPENDATA/GTFS/gtfs.1029.tomiokashi_com.zip,gtfs.1029.tomiokashi_com.zip,2021/1/4廃止（全線デマンド化のため）,2021/1/3まで（デマンド化により廃止）
f1003401,伊勢崎市　いせさきしコミュニティバス「あおぞら」,10,群馬県,1,https://gma.jcld.jp/GMA_OPENDATA/,20210210,CC BY 4.0,1,https://gma.jcld.jp/GMA_OPENDATA/GTFS/gtfs.1026.isesakishi_com.zip,gtfs.1026.isesakishi_com.zip,,2021/2/1改正(修正)
f1003501,南牧村　南牧バス,10,群馬県,1,https://gma.jcld.jp/GMA_OPENDATA/,20200924,CC BY 4.0,1,https://gma.jcld.jp/GMA_OPENDATA/GTFS/gtfs.1037.nanmokumura_com.zip,gtfs.1037.nanmokumura_com.zip,,2020/9/1～
