feed_id,label,prefcode,prefname,official,feed_page_url,feed_LastUpdate,fixed_url,license_name,feed_url,feed_note,feed_version_note
f4000706,北九州市　おでかけ交通・小倉南区合馬・道原地区,40,福岡県,1,https://data.bodik.jp/dataset/401005_odekakekotsugtfs_omadobaru,20191106,1,CC BY 2.1,https://ckan.open-governmentdata.org/dataset/ccbc3e6b-d85f-4541-8d6f-2c40d065f836/resource/8d32347f-00a4-497c-b88e-51f413b4b49e/download/401005_odekakekotsugtfs_omadobaru.zip,,
f4000707,北九州市　おでかけ交通・八幡西区木屋瀬・楠橋・星ヶ丘地区,40,福岡県,1,https://data.bodik.jp/dataset/401005_odekakekotsugtfs_koyanosekusubashihoshigaoka,20191223,1,CC BY 2.1,https://ckan.open-governmentdata.org/dataset/e3689c3c-d7e4-40a8-9d21-89aa95311bb8/resource/6185c93d-76cd-4287-a306-428216f7a285/download/401005_odekakekotsugtfs_koyanosekusubashihoshigaoka.zip,,
f4000801,田川市コミュニティバス,40,福岡県,1,https://data.bodik.jp/dataset/402061_bus-gtfs,20201208,0,CC BY 4.0,https://data.bodik.jp/dataset/1b47908a-628b-4b80-a1d7-04f85e5e4d9a/resource/b3fbe477-a74f-410d-b2ee-303f27cf57e6/download/gtfs2020.10.23.zip,,
f4000901,福津市　ふくつミニバス,40,福岡県,1,https://data.bodik.jp/dataset/402249_bus,20200304,0,CC BY 4.0,http://data.bodik.jp/dataset/7087eb26-3895-4583-8fde-1baaba1cf81f/resource/1c01f60e-0366-4d61-a2b9-a894e760d431/download/gtfsjp20200401.zip,,2020/4/1改正
f4001001,須恵町コミュニティバス,40,福岡県,1,https://data.bodik.jp/dataset/403440_communitybus,20200310,1,CC BY 4.0,http://data.bodik.jp/dataset/931596e5-d356-4097-8e5c-c6c056d588ac/resource/9a6ddba7-2a65-415d-a19f-c39d10c42ea6/download/403441communitybusgtfs.zip,,
f4001201,飯塚市コミュニティバス,40,福岡県,1,https://data.bodik.jp/dataset/402052_22,20210129,1,CC BY 4.0,https://data.bodik.jp/dataset/f609ea43-e66d-41e8-ae50-0c390d3a0bc6/resource/c9d69a4e-9e07-4afa-8af0-95b915f92943/download/22communitybus_gtfs-jp.zip,,2020/4/1改正（12/24～）
f4001301,柳川市コミュニティバス「べにばな号」,40,福岡県,1,https://data.bodik.jp/dataset/402079_002,20200911,0,CC BY 4.0,http://data.bodik.jp/dataset/6c7d2a58-a8ef-4fec-9013-a026435c03a0/resource/3359183e-0d16-4874-95a9-2593919835ea/download/gtfs-jpr2.4.zip,,
f4002101,芦屋タウンバス,40,福岡県,1,https://data.bodik.jp/dataset/403814_bus-gtfs,20210224,0,CC BY 4.0,https://data.bodik.jp/dataset/69a06a86-2b94-4c72-ad53-16555a249dcb/resource/fc2a7858-3b6c-4ca1-b097-b228ab4ed7c1/download/gtfs2022.3.31.zip,,
f4100001,佐賀県内バス路線,41,佐賀県,1,http://opendata.sagabus.info/,20210225,1,CC BY 4.0,http://opendata.sagabus.info/saga-current.zip,毎日3時台に自動更新,2021/3/1佐賀市営バス
f4200101,三池島原ライン,42,長崎県,1,https://data.bodik.jp/dataset/420000_miike-shimabara,20190806,0,CC BY 4.0,http://data.bodik.jp/dataset/2b03e4b2-83a1-4c53-b884-22c05e53da9a/resource/ea3aa42e-f03f-471b-850a-daa87c07e61b/download/2019-03-18miike-shimabara.zip,,
